C.D.S.  -  SIMBAD4 rel 1.8  -  2024.04.27CEST21:49:39,,,,,,,,,,,
,,,,,,,,,,,
PN K,,,,,,,,,,,
----,,,,,,,,,,,
,,,,,,,,,,,
Number of objects : 1,,,,,,,,,,,
,,,,,,,,,,,
 # ,typed ident,            identifier             ,typ,"coord1 (ICRS,J2000/2000)","coord3 (FK4,B1950/1950)","coord4 (Gal,J2000/2000)",       pm       ,   radvel   ,  redshift  ,     cz     ,#not
63,PN K       ,PN K 3-11,PN ,18 41 07.311 -08 55 58.97,18 38 23.155 -08 58 51.96,023.809530 -01.790447,            ~ ~ ,~           ,~           ,~           ,0
64,PN K       ,IPHAS J184446.08+060703.5,Sy*,18 44 46.0812918936 +06 07 03.561515796,18 42 19.3078902847 +06 03 54.456860704,037.6285637657227 +04.2635594427014,-1.868 -3.829,~           ,~           ,~           ,1
65,PN K       ,PN K 3-13,PN ,18 45 24.6682212456 +02 01 25.376350188,18 42 53.1784287554 +01 58 13.683608852,034.0470534246091 +02.2631267242294,-1.548 -3.912,~           ,~           ,~           ,0
66,PN K       ,PN K 3-14,PN ,18 48 32.8112121864 +10 35 50.714952360,18 46 11.2383275970 +10 32 25.300833326,042.0655573394190 +05.4452040402579,-2.247 -5.361,~           ,~           ,~           ,0
67,PN K       ,PN K 3-15,PN ,18 51 41.54 +09 54 52.6,18 49 19.12 +09 51 13.5,041.80240 +04.44707,            ~ ~ ,~           ,~           ,~           ,0
68,PN K       ,PN K 3-16,PN ,18 53 01.59 +12 16 00.2,18 50 41.93 +12 12 15.3,044.05843 +05.21260,            ~ ~ ,~           ,~           ,~           ,0
69,PN K       ,PN K 3-17,PN ,18 56 18.164 +07 07 25.88,18 53 52.455 +07 03 27.27,039.827548 +02.166544,            ~ ~ ,~           ,~           ,~           ,1
70,PN K       ,PN K 3-18,PN ,19 00 34.8294536644 -02 11 57.965374384,18 57 58.5458615079 -02 16 14.070046106,032.0147816904281 -03.0362401799543,-5.736 -5.190,~           ,~           ,~           ,0
71,PN K       ,PN K 3-19,PN ,19 01 36.575 -01 19 07.85,18 59 01.267 -01 23 28.60,032.917094 -02.864337,            ~ ~ ,~           ,~           ,~           ,0
72,PN K       ,PN K 3-20,PN ,19 02 10.1580699528 -01 48 45.405616140,18 59 34.3080628360 -01 53 08.227189190,032.5406484161460 -03.2137044230218,-3.963 -5.368,~           ,~           ,~           ,0
73,PN K       ,PN K 3-21,PN ,19 02 40.3917921480 +14 28 48.795625272,19 00 23.2139013659 +14 24 23.337558559,047.1022011887426 +04.1167854265517,-3.302 -8.125,~           ,~           ,~           ,0
74,PN K       ,PN K 3-22,Sy*,19 09 26.60 +12 00 44.6,19 07 06.36 +11 55 50.4,045.65906 +01.52320,            ~ ~ ,~           ,~           ,~           ,0
75,PN K       ,PN K 3-23,Em*,19 09 43.2290367600 +11 05 14.999633988,19 07 21.9186324130 +11 00 19.880925550,044.8693833315602 +01.0366240872009,-1.896 -3.718,~           ,~           ,~           ,2
76,PN K       ,PN K 3-24,PN ,19 12 05.88 +15 09 04.5,19 09 49.28 +15 03 59.1,048.74357 +02.39817,            ~ ~ ,~           ,~           ,~           ,0
77,PN K       ,PN K 3-25,Sy*,19 13 33.6913394808 +02 18 13.050792684,19 11 02.4269637109 +02 13 02.380823371,037.5129033076679 -03.8636187185441,-2.966 -6.101,~           ,~           ,~           ,1
