C.D.S.  -  SIMBAD4 rel 1.8  -  2024.04.27CEST21:47:20,,,,,,,,,,,
,,,,,,,,,,,
PN M,,,,,,,,,,,
----,,,,,,,,,,,
,,,,,,,,,,,
Number of objects : 1,,,,,,,,,,,
,,,,,,,,,,,
 # ,typed ident,            identifier             ,typ,"coord1 (ICRS,J2000/2000)","coord3 (FK4,B1950/1950)","coord4 (Gal,J2000/2000)",       pm       ,  radvel   ,  redshift  ,    cz     ,#not
40,PN M       ,PN M 1-40,PN ,18 08 25.989 -22 16 52.93,18 05 24.834 -22 17 23.19,008.335069 -01.103741,            ~ ~ ,~          ,~           ,~          ,1
41,PN M       ,PN M 1-41,PN ,18 09 30.10 -24 12 26.0,18 06 26.29 -24 13 00.8,006.76774 -02.25039,            ~ ~ ,~          ,~           ,~          ,0
42,PN M       ,PN M 1-42,PN ,18 11 04.99 -28 58 59.1,18 07 54.22 -28 59 40.6,002.73862 -04.85135,            ~ ~ ,-93,-0.000310,-92.99,0
43,PN M       ,PN M 1-43,PN ,18 11 48.91 -18 46 21.2,18 08 52.43 -18 47 06.4,011.79007 -00.10220,            ~ ~ ,~          ,~           ,~          ,0
44,PN M       ,PN M 1-44,PN ,18 16 17.3419504152 -27 04 30.536970384,18 13 09.4637096563 -27 05 34.346314190,004.9711270140461 -04.9614458929434,-1.071 -10.407,-4.33,-0.000014,-4.33,0
45,PN M       ,PN M 1-45,PN ,18 23 07.9832213304 -19 17 05.323374528,18 20 10.9145566555 -19 18 39.460939416,012.6073837096759 -02.7001941621176,-1.733 -8.605,~          ,~           ,~          ,0
46,PN M       ,PN M 1-46,PN ,18 27 56.3175434256 -15 32 54.434037264,18 25 04.0428121635 -15 34 50.046279014,016.4509414757490 -01.9751783301724,1.562 -0.658,~          ,~           ,~          ,0
47,PN M       ,PN M 1-47,PN ,18 29 11.1420012552 -21 46 54.068611620,18 26 10.8421644630 -21 48 54.594358559,011.0448414631449 -05.1110105241185,-3.253 -4.838,-69,-0.000230,-68.99,0
48,PN M       ,PN M 1-48,PN ,18 29 30.0553819752 -19 05 43.953710820,18 26 33.2950235378 -19 07 46.200023026,013.4733543660241 -03.9447737122869,-1.022 -0.385,121,0.000404,121.02,1
49,PN M       ,PN M 1-49,PN ,18 30 13.2445210776 -13 53 56.715339984,18 27 23.0533958531 -13 56 02.174268034,018.1691384101231 -01.7000393284169,-4.859 -3.434,~          ,~           ,~          ,0
