C.D.S.  -  SIMBAD4 rel 1.8  -  2024.04.23CEST20:54:33,,,,,,,,,,,
,,,,,,,,,,,
PN H,,,,,,,,,,,
----,,,,,,,,,,,
,,,,,,,,,,,
Number of objects : 1,,,,,,,,,,,
,,,,,,,,,,,
 # ,typed ident,            identifier             ,typ,"coord1 (ICRS,J2000/2000)","coord3 (FK4,B1950/1950)","coord4 (Gal,J2000/2000)",       pm       ,  radvel   ,  redshift  ,    cz     ,#not
69,PN H       ,EM* AS 217,Sy*,17 07 21.7345450632 -34 05 14.436760812,17 04 04.0541097939 -34 01 18.956267306,351.1737332376732 +03.8860168016368,-0.909 -4.431,~          ,~           ,~          ,2
70,PN H       ,RCW 117,HII,17 09 34.0 -41 36 12,17 06 02.5 -41 32 26,345.4009 -00.9508,            ~ ~ ,~          ,~           ,~          ,2
71,PN H       ,EM* AS 221,Sy*,17 12 12.8624441616 -32 37 46.747096500,17 08 57.3465840455 -32 34 12.070389812,352.9524303444894 +03.9329990928361,-2.330 -3.597,~          ,~           ,~          ,1
72,PN H       ,WRAY 15-1655,Sy*,17 15 19.8214542048 -31 33 53.392793688,17 12 05.8730768023 -31 30 32.140692837,354.2052877191245 +04.0178962749993,-1.612 -2.927,-16.55,-0.000055,-16.55,1
73,PN H       ,SH 2-4,HII,17 18 23.9 -39 19 10,17 14 56.4 -39 16 02,348.2361 -00.9760,            ~ ~ ,~          ,~           ,~          ,4
74,PN H       ,PN H 2-7,PN ,17 23 24.936 -28 59 06.05,17 20 14.685 -28 56 19.85,357.327531 +04.056819,            ~ ~ ,76,0.000254,76.01,0
75,PN H       ,PN H 2-8,PN ,17 24 45.766 -21 33 35.80,17 21 45.951 -21 30 55.80,003.702232 +07.935888,            ~ ~ ,41,0.000137,41.00,0
76,PN H       ,PN H 2-10,PN ,17 27 32.86 -28 31 06.9,17 24 23.20 -28 28 38.6,358.22183 +03.56536,            ~ ~ ,51,0.000170,51.00,0
77,PN H       ,PN H 2-11,PN ,17 29 25.9611478512 -25 49 07.205229768,17 26 20.1955165776 -25 46 47.176758156,000.7124580827887 +04.7031049877727,            ~ ~ ,40,0.000133,40.00,0
78,PN H       ,NAME Kepler SNR                    ,Rad,17 30 40.5 -21 29 14,17 27 40.7 -21 27 00,004.5198 +06.8230,            ~ ~ ,~          ,~           ,~          ,4
